date,vintage,rb_jun,ho_jun,rb_dec,ho_dec,crack_jun_bbl,crack_dec_bbl,spread_bbl,spread_gal,expiry_date,cal_days_to_expiry,tdays_to_expiry,tday_index,is_current
2012-06-01,2013,3.0326999999999997,2.8945,2.889,2.9545,5.804399999999995,-2.7510000000000048,8.555399999999999,0.20369999999999996,2013-05-31,364,251,0,False
2012-06-04,2013,3.1033999999999997,2.963,2.9558999999999997,3.0147000000000004,5.896799999999985,-2.4696000000000264,8.366400000000011,0.19920000000000027,2013-05-31,361,250,1,False
2012-06-05,2013,3.1501,3.0120999999999998,3.0183,3.0811,5.7960000000000145,-2.637600000000008,8.433600000000023,0.20080000000000056,2013-05-31,360,249,2,False
2012-06-06,2013,3.137,3.0237,3.0153,3.0927999999999995,4.7586000000000075,-3.2549999999999866,8.013599999999993,0.19079999999999983,2013-05-31,359,248,3,False
2012-06-07,2013,3.1283999999999996,3.0183999999999997,3.0186,3.0963,4.619999999999995,-3.2633999999999856,7.88339999999998,0.18769999999999953,2013-05-31,358,247,4,False
2012-06-08,2013,3.1801999999999997,3.057,3.0495,3.1294999999999997,5.17439999999999,-3.3599999999999843,8.534399999999973,0.20319999999999935,2013-05-31,357,246,5,False
2012-06-11,2013,3.1192,2.9983999999999997,2.9995,3.083,5.073600000000019,-3.5070000000000148,8.580600000000034,0.20430000000000081,2013-05-31,354,245,6,False
2012-06-12,2013,3.0564999999999998,2.9289,2.9301,3.0117000000000003,5.359199999999988,-3.4272000000000142,8.786400000000002,0.20920000000000005,2013-05-31,353,244,7,False
2012-06-13,2013,3.0178,2.8831,2.8638,2.9387,5.657399999999983,-3.1457999999999986,8.803199999999983,0.2095999999999996,2013-05-31,352,243,8,False
2012-06-14,2013,2.9783,2.8404000000000003,2.8301999999999996,2.8983,5.791799999999987,-2.8602000000000114,8.651999999999997,0.20599999999999993,2013-05-31,351,242,9,False
2012-06-15,2013,2.983,2.8444,2.8501,2.9112999999999998,5.821200000000012,-2.5703999999999967,8.391600000000007,0.19980000000000017,2013-05-31,350,241,10,False
2012-06-18,2013,2.9677999999999995,2.8348,2.8494,2.9066,5.585999999999982,-2.4023999999999965,7.988399999999978,0.19019999999999948,2013-05-31,347,240,11,False
2012-06-19,2013,2.9811,2.8574,2.8606,2.9288,5.195399999999997,-2.8644000000000016,8.0598,0.1919,2013-05-31,346,239,12,False
2012-06-20,2013,2.9461,2.8415,2.8482,2.9221,4.393200000000001,-3.1038000000000032,7.497000000000004,0.1785000000000001,2013-05-31,345,238,13,False
2012-06-21,2013,2.9608999999999996,2.8613,2.8750999999999998,2.9493,4.183199999999987,-3.116400000000011,7.299599999999998,0.17379999999999995,2013-05-31,344,237,14,False
