tday_index,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,mean,median,min,max
0,8.555399999999999,2.88539999999999,2.4947999999999677,11.625600000000007,11.53319999999998,5.354999999999999,5.308800000000012,4.9853999999999825,8.0472,8.101799999999976,2.965200000000009,7.085399999999994,9.30719999999998,9.819600000000001,8.093400000000013,7.004999999999991,7.5662999999999965,2.4947999999999677,11.625600000000007
1,8.366400000000011,2.8938000000000077,2.1588000000000047,11.499600000000022,11.852400000000019,4.976999999999992,5.560800000000022,4.82999999999999,8.601600000000014,8.811599999999999,3.5952000000000144,6.6822000000000195,9.004799999999978,10.050599999999985,8.084999999999996,7.063200000000006,7.524300000000015,2.1588000000000047,11.852400000000019
2,8.433600000000023,3.0533999999999715,1.4952000000000032,11.587799999999984,10.609200000000007,5.182800000000017,5.619599999999997,4.653599999999991,8.694000000000003,9.492000000000036,3.7128000000000014,6.959400000000026,8.168999999999967,9.882600000000004,8.047200000000009,6.967500000000003,7.564199999999996,1.4952000000000032,11.587799999999984
3,8.013599999999993,3.389400000000009,2.53260000000001,12.02460000000001,10.100999999999997,5.363399999999997,4.485599999999972,4.599000000000006,8.672999999999995,8.98380000000001,2.872799999999982,6.866999999999999,7.94220000000003,9.353399999999986,7.446600000000047,6.8001000000000005,7.4046000000000145,2.53260000000001,12.02460000000001
4,7.88339999999998,3.074400000000016,3.1247999999999916,12.12119999999999,10.735199999999992,4.851000000000006,3.5070000000000148,3.834600000000016,9.130799999999992,9.538199999999986,2.9399999999999933,6.270600000000009,7.820399999999978,9.441599999999987,7.202999999999999,6.733799999999998,7.045499999999993,2.9399999999999933,12.12119999999999
5,8.534399999999973,3.3096000000000085,2.876999999999991,11.024999999999988,11.810400000000005,5.128200000000013,3.21300000000001,4.1327999999999925,10.000200000000008,9.756599999999999,2.9610000000000003,6.7661999999999916,7.597799999999992,9.12240000000002,6.299999999999978,6.8739,7.1819999999999915,2.876999999999991,11.810400000000005
6,8.580600000000034,3.557400000000028,3.376799999999964,11.09640000000001,12.293399999999998,5.68259999999999,2.784600000000001,4.15799999999999,9.458400000000003,9.601200000000023,2.0831999999999944,6.938400000000001,8.62260000000001,9.029999999999994,5.968199999999986,6.947400000000002,7.759500000000017,2.0831999999999944,12.293399999999998
7,8.786400000000002,3.2634000000000043,3.1079999999999934,10.542000000000014,12.037199999999999,5.732999999999984,2.8811999999999998,4.506600000000017,9.000599999999997,9.609600000000006,2.213400000000008,6.967799999999988,9.189600000000013,9.206399999999975,5.510400000000009,6.9318,7.877099999999995,2.213400000000008,12.037199999999999
8,8.803199999999983,3.435599999999976,4.30920000000001,10.43279999999999,11.734799999999995,5.199600000000014,3.687599999999967,6.211799999999978,8.904000000000018,9.273600000000005,1.6337999999999973,6.93420000000001,9.475200000000019,9.1392,6.291599999999997,7.083899999999997,7.868699999999997,1.6337999999999973,11.734799999999995
9,8.651999999999997,4.053000000000011,4.061400000000028,10.537799999999987,12.066599999999987,5.287799999999986,3.8556000000000044,6.140399999999995,9.546600000000002,10.063199999999991,1.5204000000000004,7.287000000000009,9.538200000000003,9.218999999999983,6.287399999999988,7.2734999999999985,7.969500000000004,1.5204000000000004,12.066599999999987
10,8.391600000000007,3.9984000000000073,4.078199999999989,10.793999999999986,12.419400000000003,4.632600000000012,4.237800000000009,6.169799999999983,9.017400000000004,10.83180000000001,1.6464000000000238,7.316400000000015,9.924600000000035,9.500399999999999,6.430199999999991,7.354200000000007,7.854000000000012,1.6464000000000238,12.419400000000003
11,7.988399999999978,3.8975999999999997,4.863599999999987,10.836000000000002,12.696599999999991,4.691399999999977,3.259199999999977,6.896400000000005,8.899799999999999,10.768800000000008,1.7639999999999922,7.169400000000003,10.550399999999994,8.790599999999992,6.732600000000033,7.362299999999993,7.57889999999999,1.7639999999999922,12.696599999999991
12,8.0598,4.447799999999967,4.955999999999995,10.458000000000006,12.436199999999982,4.926600000000027,3.431399999999986,6.799799999999988,9.66419999999999,10.705800000000025,1.751400000000003,7.942200000000011,10.743600000000011,8.236199999999979,7.047599999999979,7.468499999999999,8.001000000000005,1.751400000000003,12.436199999999982
13,7.497000000000004,3.8303999999999885,5.334000000000028,10.319399999999973,11.961600000000008,5.1407999999999925,3.1541999999999977,6.426000000000001,9.2358,10.680600000000009,2.3435999999999844,8.211000000000038,10.348799999999997,7.7657999999999925,7.610399999999991,7.303500000000001,7.631399999999998,2.3435999999999844,11.961600000000008
14,7.299599999999998,4.943400000000006,4.758600000000026,10.100999999999997,11.461799999999997,5.4978000000000105,2.8812000000000184,6.7451999999999845,9.168600000000007,10.525199999999996,2.503200000000004,8.399999999999988,10.40760000000001,8.895599999999972,8.269800000000012,7.399200000000001,7.849799999999993,2.503200000000004,11.461799999999997
15,7.224000000000006,5.228999999999993,4.82999999999999,9.73140000000002,11.734799999999995,5.83799999999999,2.339400000000013,6.4763999999999955,9.319799999999999,10.705799999999988,3.166799999999987,6.879600000000026,9.617999999999967,8.731800000000018,8.639400000000009,7.273199999999998,7.051800000000016,2.339400000000013,11.734799999999995
16,7.480200000000006,4.447799999999986,4.649399999999982,9.886799999999974,12.2808,5.376000000000004,2.2722000000000016,6.131999999999987,9.429000000000006,11.42399999999999,2.457,6.6150000000000455,9.718799999999993,8.517599999999995,8.689800000000012,7.191899999999998,7.047600000000026,2.2722000000000016,12.2808
17,7.580999999999995,3.8010000000000197,4.346999999999978,9.949800000000014,12.616800000000008,6.241200000000002,1.6758000000000113,5.3003999999999944,9.248399999999997,11.717999999999996,2.6040000000000116,7.005600000000012,9.949800000000014,7.921200000000004,8.236200000000007,7.140000000000005,7.293300000000004,1.6758000000000113,12.616800000000008
18,7.635599999999998,3.8472000000000053,4.762799999999998,9.458400000000022,12.545399999999999,6.060599999999994,2.2511999999999945,5.703599999999987,8.698199999999993,12.12119999999999,1.6211999999999707,6.501599999999974,9.424799999999987,7.396199999999978,8.190000000000012,7.001999999999993,6.948899999999976,1.6211999999999707,12.545399999999999
19,7.8581999999999645,3.368400000000002,5.08619999999999,9.147600000000018,12.923400000000004,6.26220000000001,2.083200000000013,6.052199999999996,8.626799999999992,12.314400000000006,2.0873999999999846,7.085400000000012,9.265200000000007,7.971599999999999,7.148399999999997,7.152299999999999,7.4717999999999885,2.083200000000013,12.923400000000004
20,7.266000000000002,3.1416000000000457,5.569200000000021,9.298800000000002,12.730199999999979,6.627599999999989,1.7135999999999978,5.888400000000014,8.933400000000024,11.793600000000007,2.0328,7.513799999999984,8.618399999999983,8.143799999999988,6.967800000000007,7.090800000000002,7.389899999999993,1.7135999999999978,12.730199999999979
