vintage,window_start,window_end,is_complete,n_days,first_value,last_value,mean,median,std,min,min_date,tdays_to_expiry_at_min,max,max_date,tdays_to_expiry_at_max,n_negative_days,pct_negative_days,first_negative_date,longest_negative_streak,max_drawdown,value_t120,value_t60,value_t20,value_jan1
2013,2012-06-01,2013-05-31,True,252,8.555399999999999,5.451599999999978,6.507249999999998,6.3903,1.0558195956345473,3.872400000000021,2012-08-02,208,8.803199999999983,2012-06-13,243,0,0.0,,0,4.930799999999961,7.602000000000002,6.648599999999986,6.6696000000000115,6.409200000000003
2014,2013-06-03,2014-05-30,True,251,2.88539999999999,13.083000000000023,5.893018326693228,5.228999999999993,3.2672534061475536,0.5039999999999818,2013-08-20,195,13.246799999999958,2014-05-29,1,0,0.0,,0,4.725000000000011,4.573800000000028,9.269399999999976,8.332800000000015,7.799400000000008
2015,2014-06-02,2015-05-29,True,251,2.4947999999999677,3.212999999999991,2.6018414342629477,3.54900000000001,3.5210127077584277,-4.460400000000012,2015-02-17,71,8.059800000000017,2014-10-15,155,72,28.685258964143426,2014-12-02,65,12.52020000000003,0.5334000000000438,-3.1500000000000075,2.6334000000000177,-1.1046000000000182
2016,2015-06-01,2016-05-31,True,252,11.625600000000007,9.311399999999992,10.759483333333334,10.947300000000002,1.5021348856017662,7.244999999999995,2016-05-02,20,14.498400000000007,2016-01-12,95,0,0.0,,0,7.2534000000000125,11.474400000000005,12.322800000000004,7.244999999999995,12.53699999999999
2017,2016-06-01,2017-05-31,True,252,11.53319999999998,5.430600000000007,10.555833333333332,10.804499999999999,2.6508234690495236,4.91819999999999,2017-05-17,9,15.136800000000003,2016-10-17,155,0,0.0,,0,10.218600000000013,10.369799999999994,8.068199999999997,7.433999999999984,9.323999999999998
2018,2017-06-01,2018-05-30,True,251,5.354999999999999,4.582200000000008,7.704289243027887,8.248799999999996,1.5852427264503763,3.9899999999999896,2018-05-09,14,10.298400000000012,2017-12-01,122,0,0.0,,0,6.308400000000022,9.39540000000002,8.70660000000001,6.0102,9.000599999999988
2019,2018-06-01,2019-05-31,True,251,5.308800000000012,4.275599999999995,1.7320900398406378,1.7555999999999745,1.4950296864010426,-1.7682000000000198,2018-07-27,211,5.619599999999997,2018-06-05,248,29,11.55378486055777,2018-07-20,12,7.387800000000016,2.6124000000000107,0.8694000000000068,1.5414000000000074,2.935800000000003
2020,2019-06-03,2020-05-29,True,251,4.9853999999999825,-3.6833999999999865,4.70142310756972,5.695200000000007,4.750394105952042,-7.9506000000000085,2020-05-07,15,11.365199999999998,2019-12-06,119,42,16.733067729083665,2020-03-30,37,19.315800000000007,10.382400000000013,7.093799999999993,-5.514600000000016,7.740599999999996
2021,2020-06-01,2021-05-28,True,250,8.0472,8.437800000000014,6.433526400000001,6.379799999999997,1.4191952024558638,2.944200000000021,2020-08-26,189,10.000200000000008,2020-06-08,244,0,0.0,,0,7.055999999999988,6.140399999999995,7.534799999999991,6.581399999999993,6.350400000000028
2022,2021-06-01,2022-05-31,True,253,8.101799999999976,6.60240000000002,10.489093280632412,10.382400000000011,1.850866316464515,6.505800000000002,2022-05-19,7,15.124200000000004,2021-09-09,182,0,0.0,,0,8.618400000000001,10.928399999999971,8.723400000000002,9.47100000000001,9.504600000000007
2023,2022-06-01,2023-05-31,True,250,2.965200000000009,9.349199999999996,5.933642400000001,5.86530000000003,2.422042958100824,1.5204000000000004,2022-06-14,240,11.33580000000003,2023-02-27,65,0,0.0,,0,5.334000000000047,6.115200000000017,9.034200000000022,6.623400000000007,5.367599999999987
2024,2023-06-01,2024-05-31,True,252,7.085399999999994,9.601200000000006,7.133600000000002,7.146300000000001,1.8276891158136672,3.28440000000003,2024-01-29,86,10.974599999999995,2023-09-05,186,0,0.0,,0,7.690199999999965,6.636000000000015,6.623399999999989,6.858600000000019,7.408800000000005
2025,2024-06-03,2025-05-30,True,250,9.30719999999998,13.931399999999986,10.588519199999999,10.640700000000002,2.132431301423924,6.127800000000006,2024-07-26,212,15.25019999999999,2025-05-15,10,0,0.0,,0,5.737199999999985,11.247599999999991,12.490800000000004,13.7088,13.801200000000009
2026,2025-06-02,2026-05-29,True,250,9.819600000000001,10.298399999999985,8.604204,8.807399999999994,1.5463104453497016,5.027400000000006,2025-09-10,180,12.322799999999996,2026-01-23,87,0,0.0,,0,5.023199999999979,9.164399999999997,9.57180000000001,9.1476,9.756599999999999
2027,2026-06-01,2026-09-22,False,79,8.093400000000013,6.35879999999999,6.54413164556962,6.400799999999995,0.8401336266644663,5.241600000000001,2026-09-09,9,8.689800000000012,2026-06-24,62,0,0.0,,0,3.4482000000000115,,,,
